,precision,recall,f1-score,support
Negativo,0.8707173447537473,0.9969353355807539,0.9295613659094156,3263.0
Positivo,0.9920886075949367,0.7219343696027634,0.8357214261912695,1737.0
accuracy,0.9014,0.9014,0.9014,0.9014
macro avg,0.931402976174342,0.8594348525917586,0.8826413960503425,5000.0
weighted avg,0.9128817214647764,0.9014,0.8969613708513315,5000.0
